 # Monte Carlo simulation of a 2D Ising model
#         Iter        Energy   Energ Check Magnetization
        000001       -1500.0       -1500.0           100
        000002       -2316.0       -2316.0           234
        000003       -2828.0       -2828.0           298
        000004       -3052.0       -3052.0           386
        000005       -3244.0       -3244.0           358
        000006       -3404.0       -3404.0           400
        000007       -3400.0       -3400.0           382
        000008       -3520.0       -3520.0           410
        000009       -3568.0       -3568.0           466
        000010       -3596.0       -3596.0           474
        000011       -3652.0       -3652.0           484
        000012       -3740.0       -3740.0           484
        000013       -3744.0       -3744.0           512
        000014       -3756.0       -3756.0           530
        000015       -3764.0       -3764.0           552
        000016       -3768.0       -3768.0           526
        000017       -3788.0       -3788.0           570
        000018       -3832.0       -3832.0           584
        000019       -3804.0       -3804.0           566
        000020       -3812.0       -3812.0           500
        000021       -3844.0       -3844.0           488
        000022       -3856.0       -3856.0           458
        000023       -3812.0       -3812.0           472
        000024       -3832.0       -3832.0           532
        000025       -3880.0       -3880.0           586
        000026       -3888.0       -3888.0           620
        000027       -3904.0       -3904.0           618
        000028       -3952.0       -3952.0           660
        000029       -3956.0       -3956.0           662
        000030       -3928.0       -3928.0           652
        000031       -3960.0       -3960.0           714
        000032       -4012.0       -4012.0           736
        000033       -4036.0       -4036.0           746
        000034       -4016.0       -4016.0           728
        000035       -4044.0       -4044.0           766
        000036       -4028.0       -4028.0           806
        000037       -4032.0       -4032.0           792
        000038       -4104.0       -4104.0           870
        000039       -4104.0       -4104.0           882
        000040       -4100.0       -4100.0           898
        000041       -4108.0       -4108.0           940
        000042       -4044.0       -4044.0           946
        000043       -4076.0       -4076.0           968
        000044       -4100.0       -4100.0           962
        000045       -4100.0       -4100.0           934
        000046       -4080.0       -4080.0           950
        000047       -4096.0       -4096.0           980
        000048       -4080.0       -4080.0           990
        000049       -4132.0       -4132.0          1024
        000050       -4120.0       -4120.0          1056
        000051       -4088.0       -4088.0          1046
        000052       -4108.0       -4108.0          1096
        000053       -4104.0       -4104.0          1120
        000054       -4148.0       -4148.0          1122
        000055       -4148.0       -4148.0          1106
        000056       -4184.0       -4184.0          1120
        000057       -4164.0       -4164.0          1122
        000058       -4144.0       -4144.0          1110
        000059       -4160.0       -4160.0          1114
        000060       -4164.0       -4164.0          1120
        000061       -4164.0       -4164.0          1136
        000062       -4180.0       -4180.0          1134
        000063       -4180.0       -4180.0          1108
        000064       -4172.0       -4172.0          1120
        000065       -4192.0       -4192.0          1094
        000066       -4204.0       -4204.0          1124
        000067       -4208.0       -4208.0          1104
        000068       -4196.0       -4196.0          1068
        000069       -4184.0       -4184.0          1074
        000070       -4156.0       -4156.0          1074
        000071       -4160.0       -4160.0          1114
        000072       -4192.0       -4192.0          1126
        000073       -4184.0       -4184.0          1112
        000074       -4172.0       -4172.0          1112
        000075       -4192.0       -4192.0          1112
        000076       -4216.0       -4216.0          1120
        000077       -4212.0       -4212.0          1128
        000078       -4192.0       -4192.0          1146
        000079       -4140.0       -4140.0          1118
        000080       -4144.0       -4144.0          1114
        000081       -4176.0       -4176.0          1118
        000082       -4208.0       -4208.0          1158
        000083       -4200.0       -4200.0          1158
        000084       -4224.0       -4224.0          1148
        000085       -4196.0       -4196.0          1132
        000086       -4204.0       -4204.0          1168
        000087       -4216.0       -4216.0          1182
        000088       -4244.0       -4244.0          1182
        000089       -4244.0       -4244.0          1180
        000090       -4236.0       -4236.0          1180
        000091       -4244.0       -4244.0          1188
        000092       -4244.0       -4244.0          1200
        000093       -4256.0       -4256.0          1202
        000094       -4268.0       -4268.0          1184
        000095       -4256.0       -4256.0          1186
        000096       -4240.0       -4240.0          1172
        000097       -4212.0       -4212.0          1202
        000098       -4228.0       -4228.0          1216
